"Step","STAS-simple_spread_n3_s123 - agent_reward","STAS-simple_spread_n3_s123 - agent_reward__MIN","STAS-simple_spread_n3_s123 - agent_reward__MAX"
"82","-418.4950171550536","-418.4950171550536","-418.4950171550536"
"164","-427.74850140649437","-427.74850140649437","-427.74850140649437"
"246","-418.1083492739809","-418.1083492739809","-418.1083492739809"
"328","-450.1567534523649","-450.1567534523649","-450.1567534523649"
"410","-426.04688312387816","-426.04688312387816","-426.04688312387816"
"574","-400.0999347127743","-400.0999347127743","-400.0999347127743"
"656","-407.8913835852655","-407.8913835852655","-407.8913835852655"
"738","-449.82394315419134","-449.82394315419134","-449.82394315419134"
"820","-454.65026665912467","-454.65026665912467","-454.65026665912467"
"902","-467.29076729333525","-467.29076729333525","-467.29076729333525"
"1066","-429.49550209328163","-429.49550209328163","-429.49550209328163"
"1148","-447.0414049129575","-447.0414049129575","-447.0414049129575"
"1230","-427.7959443717709","-427.7959443717709","-427.7959443717709"
"1312","-422.44736458242187","-422.44736458242187","-422.44736458242187"
"1476","-442.05209557130115","-442.05209557130115","-442.05209557130115"
"1558","-434.8277489304579","-434.8277489304579","-434.8277489304579"
"1640","-425.58247314141306","-425.58247314141306","-425.58247314141306"
"1722","-459.4564618409555","-459.4564618409555","-459.4564618409555"
"1804","-428.08882415256","-428.08882415256","-428.08882415256"
"1968","-441.0033052006971","-441.0033052006971","-441.0033052006971"
"2050","-466.5378521893854","-466.5378521893854","-466.5378521893854"
"2132","-494.80456762161157","-494.80456762161157","-494.80456762161157"
"2214","-458.2153918345915","-458.2153918345915","-458.2153918345915"
"2378","-430.95795349031005","-430.95795349031005","-430.95795349031005"
"2460","-439.748857632333","-439.748857632333","-439.748857632333"
"2542","-409.0716403718318","-409.0716403718318","-409.0716403718318"
"2624","-430.86795274204496","-430.86795274204496","-430.86795274204496"
"2706","-416.91222827451134","-416.91222827451134","-416.91222827451134"
"2870","-440.79041900311734","-440.79041900311734","-440.79041900311734"
"2952","-423.5454510486008","-423.5454510486008","-423.5454510486008"
"3034","-453.6782116297529","-453.6782116297529","-453.6782116297529"
"3116","-411.29047007076036","-411.29047007076036","-411.29047007076036"
"3280","-440.08944919704766","-440.08944919704766","-440.08944919704766"
"3362","-440.20519713356373","-440.20519713356373","-440.20519713356373"
"3444","-441.58392227296105","-441.58392227296105","-441.58392227296105"
"3526","-393.1187084020213","-393.1187084020213","-393.1187084020213"
"3608","-417.0116375584459","-417.0116375584459","-417.0116375584459"
"3772","-420.9687717410677","-420.9687717410677","-420.9687717410677"
"3854","-449.3499263873465","-449.3499263873465","-449.3499263873465"
"3936","-428.1534169372512","-428.1534169372512","-428.1534169372512"
"4018","-444.5593224612092","-444.5593224612092","-444.5593224612092"
"4100","-406.5009081697587","-406.5009081697587","-406.5009081697587"
"4264","-443.50858773339263","-443.50858773339263","-443.50858773339263"
"4346","-448.5366080432514","-448.5366080432514","-448.5366080432514"
"4428","-396.02073474350493","-396.02073474350493","-396.02073474350493"
"4510","-390.421718412893","-390.421718412893","-390.421718412893"
"4674","-423.0924725049097","-423.0924725049097","-423.0924725049097"
"4756","-409.672970599156","-409.672970599156","-409.672970599156"
"4838","-392.25910310140614","-392.25910310140614","-392.25910310140614"
"4920","-410.246385486505","-410.246385486505","-410.246385486505"
"5002","-414.5801631612246","-414.5801631612246","-414.5801631612246"
"5166","-365.67159881358236","-365.67159881358236","-365.67159881358236"
"5248","-401.6848912233747","-401.6848912233747","-401.6848912233747"
"5330","-392.8351627711301","-392.8351627711301","-392.8351627711301"
"5412","-362.2473867023663","-362.2473867023663","-362.2473867023663"
"5576","-391.7009122145823","-391.7009122145823","-391.7009122145823"
"5658","-359.3524682156977","-359.3524682156977","-359.3524682156977"
"5740","-402.1226236858852","-402.1226236858852","-402.1226236858852"
"5822","-380.95396110902425","-380.95396110902425","-380.95396110902425"
"5904","-378.1214883081364","-378.1214883081364","-378.1214883081364"
"6068","-364.5744069858005","-364.5744069858005","-364.5744069858005"
"6150","-418.4940985309411","-418.4940985309411","-418.4940985309411"
"6232","-367.02747989141835","-367.02747989141835","-367.02747989141835"
"6314","-376.209021739367","-376.209021739367","-376.209021739367"
"6478","-356.59245015076124","-356.59245015076124","-356.59245015076124"
"6560","-342.7881102448716","-342.7881102448716","-342.7881102448716"
"6642","-358.9814732138412","-358.9814732138412","-358.9814732138412"
"6724","-389.45906725935","-389.45906725935","-389.45906725935"
"6806","-360.8383119575828","-360.8383119575828","-360.8383119575828"
"6970","-374.1123909294258","-374.1123909294258","-374.1123909294258"
"7052","-346.24558197109997","-346.24558197109997","-346.24558197109997"
"7134","-349.65264044812307","-349.65264044812307","-349.65264044812307"
"7216","-350.83616240197375","-350.83616240197375","-350.83616240197375"
"7380","-377.1299236177813","-377.1299236177813","-377.1299236177813"
"7462","-358.08891002647283","-358.08891002647283","-358.08891002647283"
"7544","-357.83246645703525","-357.83246645703525","-357.83246645703525"
"7626","-358.79085375924944","-358.79085375924944","-358.79085375924944"
"7708","-323.2752160847825","-323.2752160847825","-323.2752160847825"
"7872","-334.00489344522094","-334.00489344522094","-334.00489344522094"
