"Step","TARRv2-shift_s123 - agent_reward","TARRv2-shift_s123 - agent_reward__MIN","TARRv2-shift_s123 - agent_reward__MAX","TARRv2-isotanh_s123 - agent_reward","TARRv2-isotanh_s123 - agent_reward__MIN","TARRv2-isotanh_s123 - agent_reward__MAX","TARRv2-none_s123 - agent_reward","TARRv2-none_s123 - agent_reward__MIN","TARRv2-none_s123 - agent_reward__MAX","TARRv2-softmax_s123 - agent_reward","TARRv2-softmax_s123 - agent_reward__MIN","TARRv2-softmax_s123 - agent_reward__MAX","TAR2-softmax_s123 - agent_reward","TAR2-softmax_s123 - agent_reward__MIN","TAR2-softmax_s123 - agent_reward__MAX","spring-music-9 - agent_reward","spring-music-9 - agent_reward__MIN","spring-music-9 - agent_reward__MAX"
"82","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536","-418.4950171550536"
"164","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-427.74850140649437","-433.4840792551386","-433.4840792551386","-433.4840792551386"
"246","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-418.1083492739809","-420.13047451944425","-420.13047451944425","-420.13047451944425"
"328","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-450.1567534523649","-437.36141185625956","-437.36141185625956","-437.36141185625956"
"410","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-426.04688312387816","-407.94231980397205","-407.94231980397205","-407.94231980397205"
"574","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-400.0999347127743","-402.58584809896723","-402.58584809896723","-402.58584809896723"
"656","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-407.8913835852655","-401.38699094835596","-401.38699094835596","-401.38699094835596"
"738","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-449.82394315419134","-446.2704231118369","-446.2704231118369","-446.2704231118369"
"820","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-456.3393326521165","-449.82236264138425","-449.82236264138425","-449.82236264138425","-435.57832537910116","-435.57832537910116","-435.57832537910116"
"902","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-482.24490626409334","-462.3144074192602","-462.3144074192602","-462.3144074192602","-470.97107385302365","-470.97107385302365","-470.97107385302365"
