"Step","fine-cosmos-45 - evaluation/return","fine-cosmos-45 - evaluation/return__MIN","fine-cosmos-45 - evaluation/return__MAX","spaars_supe_kitchen-mixed-v0_seed1_gate_m3.0_d10.0 - evaluation/return","spaars_supe_kitchen-mixed-v0_seed1_gate_m3.0_d10.0 - evaluation/return__MIN","spaars_supe_kitchen-mixed-v0_seed1_gate_m3.0_d10.0 - evaluation/return__MAX"
"1","0.10000000149011612","0.10000000149011612","0.10000000149011612","2.8","2.8","2.8"
"2501","0.8999999761581421","0.8999999761581421","0.8999999761581421","","",""
"5001","1.600000023841858","1.600000023841858","1.600000023841858","","",""
"7501","1.899999976158142","1.899999976158142","1.899999976158142","","",""
"10001","1.899999976158142","1.899999976158142","1.899999976158142","2.9","2.9","2.9"
"12501","2","2","2","","",""
"15001","1.899999976158142","1.899999976158142","1.899999976158142","","",""
"17501","2","2","2","","",""
"20001","2","2","2","2.6","2.6","2.6"
"22501","2","2","2","","",""
"25001","2","2","2","","",""
"27501","2","2","2","","",""
"30001","2.0999999046325684","2.0999999046325684","2.0999999046325684","3","3","3"
"32501","2.4000000953674316","2.4000000953674316","2.4000000953674316","","",""
"35001","2.200000047683716","2.200000047683716","2.200000047683716","","",""
"37501","2.5999999046325684","2.5999999046325684","2.5999999046325684","","",""
"40001","3","3","3","2.6","2.6","2.6"
"42501","3","3","3","","",""
"45001","2.799999952316284","2.799999952316284","2.799999952316284","","",""
"47501","3","3","3","","",""
"50001","3","3","3","2.7","2.7","2.7"
"52501","2.9000000953674316","2.9000000953674316","2.9000000953674316","","",""
"55001","3","3","3","","",""
"57501","3","3","3","","",""
"60001","3","3","3","0.4","0.4","0.4"
"62501","3","3","3","","",""
"65001","3","3","3","","",""
"67501","3","3","3","","",""
"70001","","","","2.6","2.6","2.6"
"80001","","","","2.7","2.7","2.7"
"90001","","","","2.8","2.8","2.8"
"100001","","","","2.7","2.7","2.7"
"110001","","","","2.6","2.6","2.6"
"120001","","","","2.8","2.8","2.8"
"130001","","","","3","3","3"
"140001","","","","2.7","2.7","2.7"
"150001","","","","3.1","3.1","3.1"
"160001","","","","2.9","2.9","2.9"
"170001","","","","2.8","2.8","2.8"
"180001","","","","3","3","3"
"190001","","","","3.2","3.2","3.2"
"200001","","","","3","3","3"
"210001","","","","3","3","3"
"220001","","","","3.1","3.1","3.1"
"230001","","","","2.9","2.9","2.9"
"240001","","","","2.8","2.8","2.8"
"250001","","","","3.3","3.3","3.3"
"260001","","","","3.1","3.1","3.1"
"270001","","","","3.1","3.1","3.1"
"280001","","","","3.4","3.4","3.4"
"290001","","","","3.3","3.3","3.3"
"300001","","","","3.2","3.2","3.2"
