"Step","dandy-snowflake-25 - episode/return","dandy-snowflake-25 - episode/return__MIN","dandy-snowflake-25 - episode/return__MAX","legendary-plasma-24 - episode/return","legendary-plasma-24 - episode/return__MIN","legendary-plasma-24 - episode/return__MAX","gentle-mountain-20 - episode/return","gentle-mountain-20 - episode/return__MIN","gentle-mountain-20 - episode/return__MAX"
"417","","","","1310.083251953125","1310.083251953125","1310.083251953125","","",""
"476","","","","","","","1536.5","1536.5","1536.5"
"652","2137.494140625","2137.494140625","2137.494140625","","","","","",""
"821","416.64910888671875","416.64910888671875","416.64910888671875","","","","","",""
"827","","","","1266.365234375","1266.365234375","1266.365234375","","",""
"1020","","","","","","","1734.5272216796875","1734.5272216796875","1734.5272216796875"
"1226","1231.3162841796875","1231.3162841796875","1231.3162841796875","1255.978515625","1255.978515625","1255.978515625","","",""
"1501","","","","","","","1523.855712890625","1523.855712890625","1523.855712890625"
"1631","","","","1244.2568359375","1244.2568359375","1244.2568359375","","",""
"1703","1509.3314208984375","1509.3314208984375","1509.3314208984375","","","","","",""
"2036","","","","","","","1698.6812744140625","1698.6812744140625","1698.6812744140625"
"2114","","","","1513.4710693359375","1513.4710693359375","1513.4710693359375","","",""
"2259","1800.6348876953125","1800.6348876953125","1800.6348876953125","","","","","",""
"2541","","","","1334.063720703125","1334.063720703125","1334.063720703125","","",""
"2581","","","","","","","1730.026611328125","1730.026611328125","1730.026611328125"
"2695","1253.5977783203125","1253.5977783203125","1253.5977783203125","","","","","",""
"2916","","","","1166.8697509765625","1166.8697509765625","1166.8697509765625","","",""
"3187","1558.0267333984375","1558.0267333984375","1558.0267333984375","","","","","",""
"3234","","","","","","","2100.118896484375","2100.118896484375","2100.118896484375"
"3402","","","","1512.967041015625","1512.967041015625","1512.967041015625","","",""
"3672","1525.9283447265625","1525.9283447265625","1525.9283447265625","","","","","",""
"3894","","","","","","","2119.481689453125","2119.481689453125","2119.481689453125"
"3930","","","","1650.583984375","1650.583984375","1650.583984375","","",""
"4195","","","","751.4976806640625","751.4976806640625","751.4976806640625","","",""
"4204","1564.2274169921875","1564.2274169921875","1564.2274169921875","","","","","",""
"4382","456.4839782714844","456.4839782714844","456.4839782714844","","","","","",""
"4475","","","","","","","1847.1583251953125","1847.1583251953125","1847.1583251953125"
"4702","","","","1603.7073974609375","1603.7073974609375","1603.7073974609375","","",""
"4782","1228.5697021484375","1228.5697021484375","1228.5697021484375","","","","","",""
"5173","","","","","","","2278.807373046875","2278.807373046875","2278.807373046875"
"5238","1471.9876708984375","1471.9876708984375","1471.9876708984375","","","","","",""
"5303","","","","1952.9945068359375","1952.9945068359375","1952.9945068359375","","",""
"5611","","","","","","","1425.048095703125","1425.048095703125","1425.048095703125"
"5834","","","","1739.6695556640625","1739.6695556640625","1739.6695556640625","","",""
"6018","","","","","","","1306.2373046875","1306.2373046875","1306.2373046875"
"6233","3296.644775390625","3296.644775390625","3296.644775390625","","","","","",""
"6340","","","","1644.9398193359375","1644.9398193359375","1644.9398193359375","","",""
"6391","","","","","","","1245.310302734375","1245.310302734375","1245.310302734375"
"6536","993.4183959960938","993.4183959960938","993.4183959960938","","","","","",""
"6768","","","","","","","1256.627197265625","1256.627197265625","1256.627197265625"
"6803","","","","1535.834228515625","1535.834228515625","1535.834228515625","","",""
"6833","986.0352172851562","986.0352172851562","986.0352172851562","","","","","",""
"7046","","","","763.8936767578125","763.8936767578125","763.8936767578125","","",""
"7159","1051.1480712890625","1051.1480712890625","1051.1480712890625","","","","","",""
"7181","","","","","","","1359.9285888671875","1359.9285888671875","1359.9285888671875"
"7320","","","","903.1253051757812","903.1253051757812","903.1253051757812","","",""
"7399","779.3569946289062","779.3569946289062","779.3569946289062","","","","","",""
"7597","","","","","","","1383.8348388671875","1383.8348388671875","1383.8348388671875"
"7651","818.0689086914062","818.0689086914062","818.0689086914062","","","","","",""
"7746","","","","1421.4571533203125","1421.4571533203125","1421.4571533203125","","",""
"7902","","","","","","","1000.6871337890625","1000.6871337890625","1000.6871337890625"
"7964","1008.0425415039062","1008.0425415039062","1008.0425415039062","","","","","",""
"7992","","","","790.5933227539062","790.5933227539062","790.5933227539062","","",""
"8201","748.8134765625","748.8134765625","748.8134765625","","","","","",""
"8268","","","","899.8158569335938","899.8158569335938","899.8158569335938","","",""
"8281","","","","","","","1230.0032958984375","1230.0032958984375","1230.0032958984375"
"8501","972.5399169921875","972.5399169921875","972.5399169921875","","","","","",""
"8569","","","","990.367919921875","990.367919921875","990.367919921875","","",""
"8812","1002.1051635742188","1002.1051635742188","1002.1051635742188","","","","","",""
"8817","","","","792.5547485351562","792.5547485351562","792.5547485351562","","",""
"8822","","","","","","","1825.571044921875","1825.571044921875","1825.571044921875"
"9084","","","","","","","864.5725708007812","864.5725708007812","864.5725708007812"
"9108","949.1911010742188","949.1911010742188","949.1911010742188","","","","","",""
"9165","","","","1127.616455078125","1127.616455078125","1127.616455078125","","",""
"9364","847.2169189453125","847.2169189453125","847.2169189453125","","","","","",""
"9464","","","","","","","1259.6552734375","1259.6552734375","1259.6552734375"
"9598","753.6797485351562","753.6797485351562","753.6797485351562","","","","","",""
"9804","","","","2103.279052734375","2103.279052734375","2103.279052734375","","",""
"9899","984.4514770507812","984.4514770507812","984.4514770507812","","","","","",""
"9950","","","","","","","1575.6937255859375","1575.6937255859375","1575.6937255859375"
"10049","","","","790.182373046875","790.182373046875","790.182373046875","","",""
"10188","976.1118774414062","976.1118774414062","976.1118774414062","","","","","",""
"10338","","","","954.0556640625","954.0556640625","954.0556640625","","",""
"10459","","","","","","","1693.6229248046875","1693.6229248046875","1693.6229248046875"
"10482","983.155517578125","983.155517578125","983.155517578125","","","","","",""
"10576","","","","782.1058349609375","782.1058349609375","782.1058349609375","","",""
"10731","","","","","","","903.5393676757812","903.5393676757812","903.5393676757812"
"10786","990.7008056640625","990.7008056640625","990.7008056640625","","","","","",""
"10842","","","","885.3291015625","885.3291015625","885.3291015625","","",""
"11026","777.8075561523438","777.8075561523438","777.8075561523438","","","","","",""
"11070","","","","735.1314086914062","735.1314086914062","735.1314086914062","","",""
"11207","","","","","","","1521.9383544921875","1521.9383544921875","1521.9383544921875"
"11263","778.113037109375","778.113037109375","778.113037109375","","","","","",""
"11320","","","","827.1861572265625","827.1861572265625","827.1861572265625","","",""
"11446","","","","","","","764.773681640625","764.773681640625","764.773681640625"
"11525","866.1087036132812","866.1087036132812","866.1087036132812","","","","","",""
"11613","","","","972.5643920898438","972.5643920898438","972.5643920898438","","",""
"11697","","","","","","","826.8800659179688","826.8800659179688","826.8800659179688"
"11878","","","","874.3207397460938","874.3207397460938","874.3207397460938","","",""
"11890","1164.365478515625","1164.365478515625","1164.365478515625","","","","","",""
"11958","","","","","","","864.018310546875","864.018310546875","864.018310546875"
"12172","","","","970.0086669921875","970.0086669921875","970.0086669921875","","",""
"12292","","","","","","","1111.0244140625","1111.0244140625","1111.0244140625"
"12307","1315.0675048828125","1315.0675048828125","1315.0675048828125","","","","","",""
