"Step","dandy-snowflake-25 - evaluation/return","dandy-snowflake-25 - evaluation/return__MIN","dandy-snowflake-25 - evaluation/return__MAX","legendary-plasma-24 - evaluation/return","legendary-plasma-24 - evaluation/return__MIN","legendary-plasma-24 - evaluation/return__MAX","gentle-mountain-20 - evaluation/return","gentle-mountain-20 - evaluation/return__MIN","gentle-mountain-20 - evaluation/return__MAX"
"1","1932.8483217980593","1932.8483217980593","1932.8483217980593","2001.7403532850626","2001.7403532850626","2001.7403532850626","1973.5269143509418","1973.5269143509418","1973.5269143509418"
"10001","1715.8031776713535","1715.8031776713535","1715.8031776713535","1175.794471839208","1175.794471839208","1175.794471839208","1224.2233193548375","1224.2233193548375","1224.2233193548375"
"20001","846.6767243129516","846.6767243129516","846.6767243129516","637.6098750575891","637.6098750575891","637.6098750575891","896.8628118767007","896.8628118767007","896.8628118767007"
"30001","660.1208204725747","660.1208204725747","660.1208204725747","731.0142760489157","731.0142760489157","731.0142760489157","818.0272672971912","818.0272672971912","818.0272672971912"
"40001","602.202044176855","602.202044176855","602.202044176855","555.4584001602208","555.4584001602208","555.4584001602208","717.1860848614451","717.1860848614451","717.1860848614451"
"50001","641.0299443795162","641.0299443795162","641.0299443795162","601.662728392704","601.662728392704","601.662728392704","773.9143509462845","773.9143509462845","773.9143509462845"
"60001","636.013429643385","636.013429643385","636.013429643385","648.4269580871887","648.4269580871887","648.4269580871887","862.5134168086788","862.5134168086788","862.5134168086788"
"70001","660.2661061303128","660.2661061303128","660.2661061303128","648.903449533919","648.903449533919","648.903449533919","867.1001546050386","867.1001546050386","867.1001546050386"
"80001","667.5183966749194","667.5183966749194","667.5183966749194","607.5280734010903","607.5280734010903","607.5280734010903","844.4729759954896","844.4729759954896","844.4729759954896"
"90001","670.5452392792165","670.5452392792165","670.5452392792165","659.1745438995454","659.1745438995454","659.1745438995454","803.1778188353795","803.1778188353795","803.1778188353795"
"100001","759.4452725831527","759.4452725831527","759.4452725831527","673.8790764426938","673.8790764426938","673.8790764426938","772.0280683726444","772.0280683726444","772.0280683726444"
"110001","812.4450847704727","812.4450847704727","812.4450847704727","656.9259365029379","656.9259365029379","656.9259365029379","859.1419310163926","859.1419310163926","859.1419310163926"
"120001","893.9691280397549","893.9691280397549","893.9691280397549","704.9187688209605","704.9187688209605","704.9187688209605","919.5841209626208","919.5841209626208","919.5841209626208"
"130001","912.9351848013299","912.9351848013299","912.9351848013299","818.0137734693224","818.0137734693224","818.0137734693224","1144.8734603344074","1144.8734603344074","1144.8734603344074"
"140001","903.866072131996","903.866072131996","903.866072131996","876.1799828753299","876.1799828753299","876.1799828753299","2851.7969529944157","2851.7969529944157","2851.7969529944157"
"150001","1021.8315799581426","1021.8315799581426","1021.8315799581426","905.884314430823","905.884314430823","905.884314430823","2449.884480828984","2449.884480828984","2449.884480828984"
"160001","3125.1076980081507","3125.1076980081507","3125.1076980081507","921.9322584276763","921.9322584276763","921.9322584276763","2650.8408337409337","2650.8408337409337","2650.8408337409337"
"170001","3180.7458322477987","3180.7458322477987","3180.7458322477987","1919.946186557594","1919.946186557594","1919.946186557594","3227.8769585906193","3227.8769585906193","3227.8769585906193"
"180001","3245.4540377606236","3245.4540377606236","3245.4540377606236","2335.961307784536","2335.961307784536","2335.961307784536","3273.1582784853617","3273.1582784853617","3273.1582784853617"
"190001","3264.1485483582583","3264.1485483582583","3264.1485483582583","3303.6889985719463","3303.6889985719463","3303.6889985719463","3295.601042218818","3295.601042218818","3295.601042218818"
"200001","3295.6796077971935","3295.6796077971935","3295.6796077971935","757.0072216628301","757.0072216628301","757.0072216628301","3300.0652165762704","3300.0652165762704","3300.0652165762704"
"210001","3328.456269523483","3328.456269523483","3328.456269523483","3271.777041552128","3271.777041552128","3271.777041552128","3337.007440288971","3337.007440288971","3337.007440288971"
"220001","3295.21600912394","3295.21600912394","3295.21600912394","3216.854890862088","3216.854890862088","3216.854890862088","3332.1506695852063","3332.1506695852063","3332.1506695852063"
"230001","3315.4831290550987","3315.4831290550987","3315.4831290550987","3263.0313194445616","3263.0313194445616","3263.0313194445616","3366.170242018834","3366.170242018834","3366.170242018834"
"240001","3305.888788386873","3305.888788386873","3305.888788386873","3212.984318714498","3212.984318714498","3212.984318714498","3345.6433689586643","3345.6433689586643","3345.6433689586643"
"250001","3319.2501877795453","3319.2501877795453","3319.2501877795453","3236.2980810135186","3236.2980810135186","3236.2980810135186","3340.2913424408143","3340.2913424408143","3340.2913424408143"
"260001","3325.460391188416","3325.460391188416","3325.460391188416","3233.924009079102","3233.924009079102","3233.924009079102","3343.790489179446","3343.790489179446","3343.790489179446"
"270001","3331.6464235515014","3331.6464235515014","3331.6464235515014","3231.773292236152","3231.773292236152","3231.773292236152","3338.595900390522","3338.595900390522","3338.595900390522"
"280001","3328.2448810769447","3328.2448810769447","3328.2448810769447","3210.6358307357514","3210.6358307357514","3210.6358307357514","3343.906800199552","3343.906800199552","3343.906800199552"
"290001","3350.7782019479005","3350.7782019479005","3350.7782019479005","3230.4194354340902","3230.4194354340902","3230.4194354340902","3347.478850314526","3347.478850314526","3347.478850314526"
"300001","3339.273899865066","3339.273899865066","3339.273899865066","3245.387799875144","3245.387799875144","3245.387799875144","3333.3697156430476","3333.3697156430476","3333.3697156430476"
