"Step","misty-bee-25 - evaluation/return","misty-bee-25 - evaluation/return__MIN","misty-bee-25 - evaluation/return__MAX","cosmic-music-22 - evaluation/return","cosmic-music-22 - evaluation/return__MIN","cosmic-music-22 - evaluation/return__MAX","neat-thunder-21 - evaluation/return","neat-thunder-21 - evaluation/return__MIN","neat-thunder-21 - evaluation/return__MAX"
"1","3396.8150287713993","3396.8150287713993","3396.8150287713993","3298.784130117513","3298.784130117513","3298.784130117513","3077.459076177395","3077.459076177395","3077.459076177395"
"10001","3519.9721814237028","3519.9721814237028","3519.9721814237028","2289.4339325753813","2289.4339325753813","2289.4339325753813","762.5333974970796","762.5333974970796","762.5333974970796"
"20001","2436.784207827307","2436.784207827307","2436.784207827307","969.7329816358013","969.7329816358013","969.7329816358013","543.9033434814286","543.9033434814286","543.9033434814286"
"30001","1824.7322587200415","1824.7322587200415","1824.7322587200415","1449.539691137225","1449.539691137225","1449.539691137225","612.3805953096755","612.3805953096755","612.3805953096755"
"40001","1795.7678612427655","1795.7678612427655","1795.7678612427655","1308.7528855960597","1308.7528855960597","1308.7528855960597","611.6972220456703","611.6972220456703","611.6972220456703"
"50001","1412.7813435615244","1412.7813435615244","1412.7813435615244","1231.0414162751367","1231.0414162751367","1231.0414162751367","871.8094062662551","871.8094062662551","871.8094062662551"
"60001","1819.2841852150232","1819.2841852150232","1819.2841852150232","1340.873064045638","1340.873064045638","1340.873064045638","827.4552587610733","827.4552587610733","827.4552587610733"
"70001","1153.3258288650322","1153.3258288650322","1153.3258288650322","1639.6781914965777","1639.6781914965777","1639.6781914965777","869.9286178434137","869.9286178434137","869.9286178434137"
"80001","2811.2748355701424","2811.2748355701424","2811.2748355701424","1825.9732026479276","1825.9732026479276","1825.9732026479276","1018.6424588627211","1018.6424588627211","1018.6424588627211"
"90001","3019.670211834529","3019.670211834529","3019.670211834529","2020.3792179793788","2020.3792179793788","2020.3792179793788","1196.7198389617793","1196.7198389617793","1196.7198389617793"
"100001","3842.511775818799","3842.511775818799","3842.511775818799","2568.047300525626","2568.047300525626","2568.047300525626","1518.0612362299787","1518.0612362299787","1518.0612362299787"
"110001","3506.975105716911","3506.975105716911","3506.975105716911","2345.94929506272","2345.94929506272","2345.94929506272","2927.2385993003672","2927.2385993003672","2927.2385993003672"
"120001","3787.773084522475","3787.773084522475","3787.773084522475","2557.3680347574837","2557.3680347574837","2557.3680347574837","4337.082100598635","4337.082100598635","4337.082100598635"
"130001","4095.4074789596416","4095.4074789596416","4095.4074789596416","3493.150115990006","3493.150115990006","3493.150115990006","4446.034536645826","4446.034536645826","4446.034536645826"
"140001","4134.305029397359","4134.305029397359","4134.305029397359","4722.935370577076","4722.935370577076","4722.935370577076","4589.9202973302745","4589.9202973302745","4589.9202973302745"
"150001","4194.717513456496","4194.717513456496","4194.717513456496","4803.928014631265","4803.928014631265","4803.928014631265","4612.643764787633","4612.643764787633","4612.643764787633"
"160001","4229.871568596622","4229.871568596622","4229.871568596622","3908.0534457452836","3908.0534457452836","3908.0534457452836","4724.831787725319","4724.831787725319","4724.831787725319"
"170001","4224.702861468756","4224.702861468756","4224.702861468756","5067.374888801622","5067.374888801622","5067.374888801622","4658.9650633099645","4658.9650633099645","4658.9650633099645"
"180001","4309.8398864598","4309.8398864598","4309.8398864598","3607.446378838938","3607.446378838938","3607.446378838938","4768.605684222007","4768.605684222007","4768.605684222007"
"190001","4318.743836785767","4318.743836785767","4318.743836785767","4786.236038338192","4786.236038338192","4786.236038338192","4811.903172726642","4811.903172726642","4811.903172726642"
"200001","4356.87455718846","4356.87455718846","4356.87455718846","4730.081968194798","4730.081968194798","4730.081968194798","4749.566966734964","4749.566966734964","4749.566966734964"
"210001","4419.896703181315","4419.896703181315","4419.896703181315","4785.477949926797","4785.477949926797","4785.477949926797","4837.598924777483","4837.598924777483","4837.598924777483"
"220001","4405.831055943268","4405.831055943268","4405.831055943268","4745.317235246472","4745.317235246472","4745.317235246472","4854.74399085942","4854.74399085942","4854.74399085942"
"230001","4464.986941950936","4464.986941950936","4464.986941950936","4776.217467524045","4776.217467524045","4776.217467524045","4813.667637328149","4813.667637328149","4813.667637328149"
"240001","4436.376793756095","4436.376793756095","4436.376793756095","4870.239905126222","4870.239905126222","4870.239905126222","4843.896478726875","4843.896478726875","4843.896478726875"
"250001","4478.854433756745","4478.854433756745","4478.854433756745","4848.577190031726","4848.577190031726","4848.577190031726","4896.046875305152","4896.046875305152","4896.046875305152"
"260001","4473.400120182165","4473.400120182165","4473.400120182165","4857.71267900487","4857.71267900487","4857.71267900487","4809.128974388957","4809.128974388957","4809.128974388957"
"270001","4480.886161451589","4480.886161451589","4480.886161451589","4845.654909597467","4845.654909597467","4845.654909597467","4849.787934338031","4849.787934338031","4849.787934338031"
"280001","4459.463792329958","4459.463792329958","4459.463792329958","4802.738124019536","4802.738124019536","4802.738124019536","4794.918489124055","4794.918489124055","4794.918489124055"
"290001","4474.113599488393","4474.113599488393","4474.113599488393","4872.1621301097275","4872.1621301097275","4872.1621301097275","4774.73836607484","4774.73836607484","4774.73836607484"
"300001","4527.216320149579","4527.216320149579","4527.216320149579","4800.598530070348","4800.598530070348","4800.598530070348","4851.555554365209","4851.555554365209","4851.555554365209"
