"Step","misty-bee-25 - episode/return","misty-bee-25 - episode/return__MIN","misty-bee-25 - episode/return__MAX","cosmic-music-22 - episode/return","cosmic-music-22 - episode/return__MIN","cosmic-music-22 - episode/return__MAX","neat-thunder-21 - episode/return","neat-thunder-21 - episode/return__MIN","neat-thunder-21 - episode/return__MAX"
"881","","","","3228.4599609375","3228.4599609375","3228.4599609375","","",""
"1000","3639.334716796875","3639.334716796875","3639.334716796875","","","","3638.31396484375","3638.31396484375","3638.31396484375"
"1614","","","","","","","2165.32958984375","2165.32958984375","2165.32958984375"
"1881","","","","3690.36474609375","3690.36474609375","3690.36474609375","","",""
"2000","3780.17919921875","3780.17919921875","3780.17919921875","","","","","",""
"2548","","","","2414.16748046875","2414.16748046875","2414.16748046875","","",""
"2606","","","","","","","3636.074951171875","3636.074951171875","3636.074951171875"
"3000","3731.74658203125","3731.74658203125","3731.74658203125","","","","","",""
"3004","","","","1461.378173828125","1461.378173828125","1461.378173828125","","",""
"3596","","","","","","","3546.416015625","3546.416015625","3546.416015625"
"4000","3552.678466796875","3552.678466796875","3552.678466796875","","","","","",""
"4004","","","","3813.123779296875","3813.123779296875","3813.123779296875","","",""
"4541","","","","","","","3664.197021484375","3664.197021484375","3664.197021484375"
"4771","","","","2737.48486328125","2737.48486328125","2737.48486328125","","",""
"4912","","","","","","","1267.1148681640625","1267.1148681640625","1267.1148681640625"
"5000","3576.1162109375","3576.1162109375","3576.1162109375","","","","","",""
"5458","1506.5115966796875","1506.5115966796875","1506.5115966796875","","","","","",""
"5630","","","","3239.541748046875","3239.541748046875","3239.541748046875","","",""
"5827","","","","","","","3540.578369140625","3540.578369140625","3540.578369140625"
"6273","3078.88330078125","3078.88330078125","3078.88330078125","","","","","",""
"6281","-1.516977071762085","-1.516977071762085","-1.516977071762085","","","","","",""
"6630","","","","3851.247802734375","3851.247802734375","3851.247802734375","","",""
"6714","1326.2686767578125","1326.2686767578125","1326.2686767578125","","","","","",""
"6827","","","","","","","3887.968994140625","3887.968994140625","3887.968994140625"
"7330","2264.53271484375","2264.53271484375","2264.53271484375","","","","","",""
"7630","","","","4036.159912109375","4036.159912109375","4036.159912109375","","",""
"7827","","","","","","","3764.65087890625","3764.65087890625","3764.65087890625"
"8126","","","","1949.0992431640625","1949.0992431640625","1949.0992431640625","","",""
"8282","","","","","","","1756.968505859375","1756.968505859375","1756.968505859375"
"8330","3660.59765625","3660.59765625","3660.59765625","","","","","",""
"8449","237.96701049804688","237.96701049804688","237.96701049804688","","","","","",""
"8612","","","","","","","1111.3572998046875","1111.3572998046875","1111.3572998046875"
"8619","310.9222717285156","310.9222717285156","310.9222717285156","","","","","",""
"8894","","","","","","","1017.2693481445312","1017.2693481445312","1017.2693481445312"
"8960","","","","3478.686767578125","3478.686767578125","3478.686767578125","","",""
"9097","","","","","","","597.5792236328125","597.5792236328125","597.5792236328125"
"9269","","","","","","","509.34014892578125","509.34014892578125","509.34014892578125"
"9371","2713.952880859375","2713.952880859375","2713.952880859375","","","","","",""
"9500","","","","2093.498046875","2093.498046875","2093.498046875","","",""
"9754","","","","","","","1824.93798828125","1824.93798828125","1824.93798828125"
"10010","","","","","","","588.0503540039062","588.0503540039062","588.0503540039062"
"10269","3347.820556640625","3347.820556640625","3347.820556640625","","","","","",""
"10371","","","","","","","1171.800537109375","1171.800537109375","1171.800537109375"
"10500","","","","4298.38330078125","4298.38330078125","4298.38330078125","","",""
"11002","","","","1783.5262451171875","1783.5262451171875","1783.5262451171875","","",""
"11062","","","","","","","2589.66162109375","2589.66162109375","2589.66162109375"
"11199","","","","552.4497680664062","552.4497680664062","552.4497680664062","","",""
"11208","","","","","","","383.15643310546875","383.15643310546875","383.15643310546875"
"11269","3810.697021484375","3810.697021484375","3810.697021484375","","","","","",""
"11313","","","","250.56707763671875","250.56707763671875","250.56707763671875","","",""
"11346","","","","","","","333.2242126464844","333.2242126464844","333.2242126464844"
"11414","","","","225.2862091064453","225.2862091064453","225.2862091064453","","",""
"11590","","","","","","","817.920654296875","817.920654296875","817.920654296875"
"11653","1148.0032958984375","1148.0032958984375","1148.0032958984375","","","","","",""
"11862","","","","","","","1033.1185302734375","1033.1185302734375","1033.1185302734375"
"11929","","","","1931.9676513671875","1931.9676513671875","1931.9676513671875","","",""
"12060","","","","281.2315673828125","281.2315673828125","281.2315673828125","","",""
"12180","","","","260.7511291503906","260.7511291503906","260.7511291503906","","",""
"12187","","","","","","","1075.974853515625","1075.974853515625","1075.974853515625"
"12419","2673.327392578125","2673.327392578125","2673.327392578125","","","","","",""
"12544","","","","","","","1311.5389404296875","1311.5389404296875","1311.5389404296875"
"12737","716.3475341796875","716.3475341796875","716.3475341796875","","","","","",""
"12767","","","","2290.0458984375","2290.0458984375","2290.0458984375","","",""
"12786","","","","","","","857.32373046875","857.32373046875","857.32373046875"
"12932","","","","","","","424.8552551269531","424.8552551269531","424.8552551269531"
"13053","","","","","","","311.65606689453125","311.65606689453125","311.65606689453125"
"13071","1020.5776977539062","1020.5776977539062","1020.5776977539062","","","","","",""
"13263","","","","","","","599.258056640625","599.258056640625","599.258056640625"
"13311","","","","2172.01708984375","2172.01708984375","2172.01708984375","","",""
"13436","","","","277.21417236328125","277.21417236328125","277.21417236328125","","",""
"13516","","","","","","","637.847900390625","637.847900390625","637.847900390625"
"13665","","","","","","","357.5480041503906","357.5480041503906","357.5480041503906"
"13713","2191.278076171875","2191.278076171875","2191.278076171875","","","","","",""
"13783","","","","1302.813720703125","1302.813720703125","1302.813720703125","","",""
"13810","","","","","","","374.70458984375","374.70458984375","374.70458984375"
"13913","","","","347.7628479003906","347.7628479003906","347.7628479003906","","",""
"13958","573.1448364257812","573.1448364257812","573.1448364257812","","","","","",""
"14016","","","","","","","586.4979248046875","586.4979248046875","586.4979248046875"
"14204","","","","","","","539.617919921875","539.617919921875","539.617919921875"
"14243","","","","1333.2608642578125","1333.2608642578125","1333.2608642578125","","",""
"14336","1338.0625","1338.0625","1338.0625","","","","","",""
"14372","","","","","","","494.6358337402344","494.6358337402344","494.6358337402344"
"14454","","","","688.2916870117188","688.2916870117188","688.2916870117188","","",""
"14597","","","","","","","749.9833984375","749.9833984375","749.9833984375"
"14641","","","","567.6109008789062","567.6109008789062","567.6109008789062","","",""
"14774","","","","","","","533.3709716796875","533.3709716796875","533.3709716796875"
"14890","1688.9779052734375","1688.9779052734375","1688.9779052734375","","","","","",""
"15047","","","","1524.1243896484375","1524.1243896484375","1524.1243896484375","","",""
"15109","","","","","","","1192.3316650390625","1192.3316650390625","1192.3316650390625"
"15280","","","","","","","493.021484375","493.021484375","493.021484375"
"15485","","","","1745.1854248046875","1745.1854248046875","1745.1854248046875","","",""
"15644","","","","516.8126831054688","516.8126831054688","516.8126831054688","","",""
"15646","","","","","","","1234.24560546875","1234.24560546875","1234.24560546875"
"15776","","","","","","","285.65484619140625","285.65484619140625","285.65484619140625"
"15890","3343.155517578125","3343.155517578125","3343.155517578125","","","","","",""
"16031","","","","","","","890.92578125","890.92578125","890.92578125"
"16090","","","","1417.259033203125","1417.259033203125","1417.259033203125","","",""
"16266","","","","","","","795.7901000976562","795.7901000976562","795.7901000976562"
"16474","","","","1370.999755859375","1370.999755859375","1370.999755859375","","",""
"16494","","","","","","","805.5287475585938","805.5287475585938","805.5287475585938"
"16657","","","","","","","449.6367492675781","449.6367492675781","449.6367492675781"
"16830","","","","1383.1168212890625","1383.1168212890625","1383.1168212890625","","",""
"16847","3356.456787109375","3356.456787109375","3356.456787109375","","","","","",""
"16893","","","","","","","759.4144287109375","759.4144287109375","759.4144287109375"
"16921","","","","218.25778198242188","218.25778198242188","218.25778198242188","","",""
"17116","","","","","","","728.0982055664062","728.0982055664062","728.0982055664062"
"17144","828.9357299804688","828.9357299804688","828.9357299804688","","","","","",""
"17264","","","","","","","312.50494384765625","312.50494384765625","312.50494384765625"
"17323","","","","1594.1121826171875","1594.1121826171875","1594.1121826171875","","",""
"17424","663.5535278320312","663.5535278320312","663.5535278320312","","","","","",""
"17464","","","","","","","656.6913452148438","656.6913452148438","656.6913452148438"
"17662","","","","","","","590.3618774414062","590.3618774414062","590.3618774414062"
"17802","","","","1922.60009765625","1922.60009765625","1922.60009765625","","",""
"17948","","","","","","","1089.1168212890625","1089.1168212890625","1089.1168212890625"
"18078","","","","998.482666015625","998.482666015625","998.482666015625","","",""
"18287","","","","","","","1359.294677734375","1359.294677734375","1359.294677734375"
"18424","3537.045654296875","3537.045654296875","3537.045654296875","","","","","",""
"18511","","","","","","","697.530517578125","697.530517578125","697.530517578125"
"18580","","","","1896.34521484375","1896.34521484375","1896.34521484375","","",""
"18794","","","","","","","1058.685546875","1058.685546875","1058.685546875"
"18810","","","","798.5557250976562","798.5557250976562","798.5557250976562","","",""
"19059","","","","","","","881.6210327148438","881.6210327148438","881.6210327148438"
"19148","","","","1204.083251953125","1204.083251953125","1204.083251953125","","",""
"19283","","","","","","","747.99951171875","747.99951171875","747.99951171875"
"19421","","","","943.3380737304688","943.3380737304688","943.3380737304688","","",""
"19424","3802.60986328125","3802.60986328125","3802.60986328125","","","","","",""
"19478","","","","","","","520.9982299804688","520.9982299804688","520.9982299804688"
"19550","","","","384.9529724121094","384.9529724121094","384.9529724121094","","",""
"19684","","","","","","","688.1866455078125","688.1866455078125","688.1866455078125"
"19724","687.9362182617188","687.9362182617188","687.9362182617188","","","","","",""
"19880","","","","","","","620.1797485351562","620.1797485351562","620.1797485351562"
"19999","","","","1793.149169921875","1793.149169921875","1793.149169921875","","",""
"20071","","","","","","","594.2638549804688","594.2638549804688","594.2638549804688"
"20232","1757.5042724609375","1757.5042724609375","1757.5042724609375","","","","","",""
"20260","","","","","","","529.732421875","529.732421875","529.732421875"
"20424","","","","","","","453.3877258300781","453.3877258300781","453.3877258300781"
"20493","","","","2134.35888671875","2134.35888671875","2134.35888671875","","",""
"20614","","","","","","","580.2161865234375","580.2161865234375","580.2161865234375"
"20841","","","","","","","764.2837524414062","764.2837524414062","764.2837524414062"
"20920","","","","1787.078125","1787.078125","1787.078125","","",""
"21186","","","","","","","1451.59765625","1451.59765625","1451.59765625"
"21232","3835.050537109375","3835.050537109375","3835.050537109375","","","","","",""
"21244","","","","1199.769775390625","1199.769775390625","1199.769775390625","","",""
"21393","","","","414.80084228515625","414.80084228515625","414.80084228515625","","",""
"21407","","","","","","","673.2943725585938","673.2943725585938","673.2943725585938"
"21574","","","","617.6763305664062","617.6763305664062","617.6763305664062","","",""
"21593","","","","","","","557.3460083007812","557.3460083007812","557.3460083007812"
"21748","","","","520.4014282226562","520.4014282226562","520.4014282226562","","",""
"21925","","","","515.2640991210938","515.2640991210938","515.2640991210938","","",""
"21945","","","","","","","1422.6846923828125","1422.6846923828125","1422.6846923828125"
"22195","","","","","","","871.903076171875","871.903076171875","871.903076171875"
"22232","3969.705078125","3969.705078125","3969.705078125","","","","","",""
"22248","","","","1028.80517578125","1028.80517578125","1028.80517578125","","",""
"22396","","","","","","","610.4267578125","610.4267578125","610.4267578125"
"22476","580.298828125","580.298828125","580.298828125","","","","","",""
"22500","","","","753.2416381835938","753.2416381835938","753.2416381835938","","",""
"22586","","","","","","","600.7199096679688","600.7199096679688","600.7199096679688"
"22771","726.338623046875","726.338623046875","726.338623046875","","","","","",""
"22822","","","","","","","592.2882690429688","592.2882690429688","592.2882690429688"
"22975","","","","1976.849853515625","1976.849853515625","1976.849853515625","","",""
"23028","","","","","","","682.5003051757812","682.5003051757812","682.5003051757812"
"23237","","","","","","","684.6782836914062","684.6782836914062","684.6782836914062"
"23290","","","","1199.7821044921875","1199.7821044921875","1199.7821044921875","","",""
"23475","","","","597.8375244140625","597.8375244140625","597.8375244140625","","",""
"23517","","","","","","","694.4482421875","694.4482421875","694.4482421875"
"23611","","","","378.0664978027344","378.0664978027344","378.0664978027344","","",""
"23689","","","","","","","509.09765625","509.09765625","509.09765625"
"23771","3624.032958984375","3624.032958984375","3624.032958984375","","","","","",""
"23931","","","","1327.4180908203125","1327.4180908203125","1327.4180908203125","","",""
"23945","","","","","","","862.68115234375","862.68115234375","862.68115234375"
"24068","","","","","","","288.46337890625","288.46337890625","288.46337890625"
"24280","","","","1312.4586181640625","1312.4586181640625","1312.4586181640625","","",""
"24325","","","","","","","929.5446166992188","929.5446166992188","929.5446166992188"
"24478","","","","660.0494384765625","660.0494384765625","660.0494384765625","","",""
