"Step","spaars_supe_antmaze-medium-play-v2_seed3_gate_m8.0_d10.0 - evaluation/return","spaars_supe_antmaze-medium-play-v2_seed3_gate_m8.0_d10.0 - evaluation/return__MIN","spaars_supe_antmaze-medium-play-v2_seed3_gate_m8.0_d10.0 - evaluation/return__MAX","spaars_supe_antmaze-medium-play-v2_seed2_gate_m8.0_d10.0 - evaluation/return","spaars_supe_antmaze-medium-play-v2_seed2_gate_m8.0_d10.0 - evaluation/return__MIN","spaars_supe_antmaze-medium-play-v2_seed2_gate_m8.0_d10.0 - evaluation/return__MAX","spaars_supe_antmaze-medium-play-v2_seed1_gate_m8.0_d10.0 - evaluation/return","spaars_supe_antmaze-medium-play-v2_seed1_gate_m8.0_d10.0 - evaluation/return__MIN","spaars_supe_antmaze-medium-play-v2_seed1_gate_m8.0_d10.0 - evaluation/return__MAX"
"1","0.7","0.7","0.7","0.6","0.6","0.6","0.8","0.8","0.8"
"10001","1","1","1","1","1","1","0.5","0.5","0.5"
"20001","0.7","0.7","0.7","0.8","0.8","0.8","0.5","0.5","0.5"
"30001","0.8","0.8","0.8","0.7","0.7","0.7","0.8","0.8","0.8"
"40001","","","","0.9","0.9","0.9","0.9","0.9","0.9"
"50001","","","","0.7","0.7","0.7","1","1","1"
"60001","","","","0.4","0.4","0.4","0.4","0.4","0.4"
"70001","","","","0.4","0.4","0.4","0.5","0.5","0.5"
"80001","","","","0.4","0.4","0.4","0.5","0.5","0.5"
"90001","","","","0.7","0.7","0.7","0.5","0.5","0.5"
"100001","","","","0.8","0.8","0.8","0.4","0.4","0.4"
"110001","","","","0.5","0.5","0.5","0.8","0.8","0.8"
"120001","","","","0.6","0.6","0.6","0.6","0.6","0.6"
"130001","","","","0.6","0.6","0.6","0.8","0.8","0.8"
"140001","","","","0.9","0.9","0.9","0.6","0.6","0.6"
"150001","","","","0.9","0.9","0.9","0.7","0.7","0.7"
"160001","","","","0.6","0.6","0.6","0.4","0.4","0.4"
"170001","","","","0.5","0.5","0.5","0.4","0.4","0.4"
"180001","","","","0.5","0.5","0.5","0.7","0.7","0.7"
"190001","","","","0.5","0.5","0.5","0.8","0.8","0.8"
"200001","","","","0.6","0.6","0.6","0.6","0.6","0.6"
"210001","","","","0.3","0.3","0.3","0.9","0.9","0.9"
"220001","","","","0.6","0.6","0.6","0.4","0.4","0.4"
"230001","","","","0.7","0.7","0.7","0.7","0.7","0.7"
"240001","","","","0.8","0.8","0.8","0.8","0.8","0.8"
"250001","","","","0.7","0.7","0.7","0.6","0.6","0.6"
"260001","","","","0.6","0.6","0.6","0.6","0.6","0.6"
"270001","","","","0.6","0.6","0.6","0.6","0.6","0.6"
"280001","","","","0.7","0.7","0.7","0.6","0.6","0.6"
"290001","","","","0.5","0.5","0.5","0.8","0.8","0.8"
"300001","","","","0.9","0.9","0.9","0.8","0.8","0.8"
