"Step","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - train/return","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - train/return__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - train/return__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - train/return","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - train/return__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - train/return__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - train/return","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - train/return__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - train/return__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - train/return","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - train/return__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - train/return__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - train/return","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - train/return__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - train/return__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - train/return","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - train/return__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - train/return__MAX"
"0","1.2073280811309814","1.2073280811309814","1.2073280811309814","1.216137409210205","1.216137409210205","1.216137409210205","1.172626256942749","1.172626256942749","1.172626256942749","2.2805769443511963","2.2805769443511963","2.2805769443511963","2.2668848037719727","2.2668848037719727","2.2668848037719727","2.345966100692749","2.345966100692749","2.345966100692749"
"12800","1.18436598777771","1.18436598777771","1.18436598777771","1.342063069343567","1.342063069343567","1.342063069343567","1.2454593181610107","1.2454593181610107","1.2454593181610107","2.6604409217834473","2.6604409217834473","2.6604409217834473","2.6184282302856445","2.6184282302856445","2.6184282302856445","2.3361868858337402","2.3361868858337402","2.3361868858337402"
"25600","1.3081073760986328","1.3081073760986328","1.3081073760986328","1.5059306621551514","1.5059306621551514","1.5059306621551514","1.406482219696045","1.406482219696045","1.406482219696045","3.4475135803222656","3.4475135803222656","3.4475135803222656","3.4207849502563477","3.4207849502563477","3.4207849502563477","3.184305429458618","3.184305429458618","3.184305429458618"
"38400","1.6153184175491333","1.6153184175491333","1.6153184175491333","1.6680989265441895","1.6680989265441895","1.6680989265441895","1.6110806465148926","1.6110806465148926","1.6110806465148926","4.027772903442383","4.027772903442383","4.027772903442383","4.030740737915039","4.030740737915039","4.030740737915039","4.138225078582764","4.138225078582764","4.138225078582764"
"51200","1.8007535934448242","1.8007535934448242","1.8007535934448242","1.93239426612854","1.93239426612854","1.93239426612854","1.914062261581421","1.914062261581421","1.914062261581421","4.7282609939575195","4.7282609939575195","4.7282609939575195","4.715112209320068","4.715112209320068","4.715112209320068","4.68941593170166","4.68941593170166","4.68941593170166"
"64000","2.050339698791504","2.050339698791504","2.050339698791504","2.096560001373291","2.096560001373291","2.096560001373291","2.218520164489746","2.218520164489746","2.218520164489746","5.2246599197387695","5.2246599197387695","5.2246599197387695","5.1056671142578125","5.1056671142578125","5.1056671142578125","5.212924957275391","5.212924957275391","5.212924957275391"
"76800","2.300389528274536","2.300389528274536","2.300389528274536","2.495863914489746","2.495863914489746","2.495863914489746","2.44136905670166","2.44136905670166","2.44136905670166","5.657120227813721","5.657120227813721","5.657120227813721","5.585524082183838","5.585524082183838","5.585524082183838","5.647968292236328","5.647968292236328","5.647968292236328"
"89600","2.552541494369507","2.552541494369507","2.552541494369507","2.839453935623169","2.839453935623169","2.839453935623169","2.7890729904174805","2.7890729904174805","2.7890729904174805","5.969179153442383","5.969179153442383","5.969179153442383","5.854407787322998","5.854407787322998","5.854407787322998","5.874161243438721","5.874161243438721","5.874161243438721"
"102400","2.9032392501831055","2.9032392501831055","2.9032392501831055","3.1163976192474365","3.1163976192474365","3.1163976192474365","3.0918080806732178","3.0918080806732178","3.0918080806732178","6.18877649307251","6.18877649307251","6.18877649307251","6.0053300857543945","6.0053300857543945","6.0053300857543945","6.141867637634277","6.141867637634277","6.141867637634277"
"115200","3.22237491607666","3.22237491607666","3.22237491607666","3.2710180282592773","3.2710180282592773","3.2710180282592773","3.317338466644287","3.317338466644287","3.317338466644287","6.348392486572266","6.348392486572266","6.348392486572266","6.299259185791016","6.299259185791016","6.299259185791016","6.324435234069824","6.324435234069824","6.324435234069824"
