"Step","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - eval/return","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - eval/return__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - eval/return__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - eval/return","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - eval/return__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - eval/return__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - eval/return","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - eval/return__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - eval/return__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - eval/return","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - eval/return__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - eval/return__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - eval/return","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - eval/return__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - eval/return__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - eval/return","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - eval/return__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - eval/return__MAX"
"0","1.3202123641967773","1.3202123641967773","1.3202123641967773","1.3022985458374023","1.3022985458374023","1.3022985458374023","1.3154224157333374","1.3154224157333374","1.3154224157333374","3.1260147094726562","3.1260147094726562","3.1260147094726562","3.091864585876465","3.091864585876465","3.091864585876465","3.2204513549804688","3.2204513549804688","3.2204513549804688"
"320000","13.356776237487793","13.356776237487793","13.356776237487793","14.023393630981445","14.023393630981445","14.023393630981445","13.432324409484863","13.432324409484863","13.432324409484863","15.111164093017578","15.111164093017578","15.111164093017578","16.816967010498047","16.816967010498047","16.816967010498047","10.951598167419434","10.951598167419434","10.951598167419434"
"640000","20.45519256591797","20.45519256591797","20.45519256591797","21.769100189208984","21.769100189208984","21.769100189208984","20.349727630615234","20.349727630615234","20.349727630615234","21.193904876708984","21.193904876708984","21.193904876708984","22.568134307861328","22.568134307861328","22.568134307861328","19.145492553710938","19.145492553710938","19.145492553710938"
"960000","23.247894287109375","23.247894287109375","23.247894287109375","23.90001678466797","23.90001678466797","23.90001678466797","21.099876403808594","21.099876403808594","21.099876403808594","22.337182998657227","22.337182998657227","22.337182998657227","23.19841766357422","23.19841766357422","23.19841766357422","21.20016098022461","21.20016098022461","21.20016098022461"
"1280000","27.412450790405273","27.412450790405273","27.412450790405273","33.38009262084961","33.38009262084961","33.38009262084961","25.880903244018555","25.880903244018555","25.880903244018555","28.066810607910156","28.066810607910156","28.066810607910156","22.63379669189453","22.63379669189453","22.63379669189453","23.08489227294922","23.08489227294922","23.08489227294922"
"1600000","37.30754089355469","37.30754089355469","37.30754089355469","37.85079574584961","37.85079574584961","37.85079574584961","29.782821655273438","29.782821655273438","29.782821655273438","30.27456283569336","30.27456283569336","30.27456283569336","22.83645248413086","22.83645248413086","22.83645248413086","24.696426391601562","24.696426391601562","24.696426391601562"
"1920000","38.157196044921875","38.157196044921875","38.157196044921875","36.87916564941406","36.87916564941406","36.87916564941406","29.6932373046875","29.6932373046875","29.6932373046875","27.728572845458984","27.728572845458984","27.728572845458984","25.238235473632812","25.238235473632812","25.238235473632812","24.521055221557617","24.521055221557617","24.521055221557617"
"2240000","33.816402435302734","33.816402435302734","33.816402435302734","38.80455780029297","38.80455780029297","38.80455780029297","26.667306900024414","26.667306900024414","26.667306900024414","34.45718002319336","34.45718002319336","34.45718002319336","24.104703903198242","24.104703903198242","24.104703903198242","24.107742309570312","24.107742309570312","24.107742309570312"
"2560000","37.29766845703125","37.29766845703125","37.29766845703125","38.739871978759766","38.739871978759766","38.739871978759766","28.81586456298828","28.81586456298828","28.81586456298828","36.252037048339844","36.252037048339844","36.252037048339844","23.93581199645996","23.93581199645996","23.93581199645996","25.038393020629883","25.038393020629883","25.038393020629883"
"2880000","37.99787139892578","37.99787139892578","37.99787139892578","35.16632843017578","35.16632843017578","35.16632843017578","31.167259216308594","31.167259216308594","31.167259216308594","34.14376449584961","34.14376449584961","34.14376449584961","24.628726959228516","24.628726959228516","24.628726959228516","25.29603385925293","25.29603385925293","25.29603385925293"
"3200000","37.86103820800781","37.86103820800781","37.86103820800781","40.95921325683594","40.95921325683594","40.95921325683594","32.21898651123047","32.21898651123047","32.21898651123047","36.227935791015625","36.227935791015625","36.227935791015625","23.29808807373047","23.29808807373047","23.29808807373047","25.153663635253906","25.153663635253906","25.153663635253906"
"3520000","37.88610076904297","37.88610076904297","37.88610076904297","39.509098052978516","39.509098052978516","39.509098052978516","37.527591705322266","37.527591705322266","37.527591705322266","30.255409240722656","30.255409240722656","30.255409240722656","25.125951766967773","25.125951766967773","25.125951766967773","25.390844345092773","25.390844345092773","25.390844345092773"
"3840000","37.69169616699219","37.69169616699219","37.69169616699219","40.88420104980469","40.88420104980469","40.88420104980469","35.35870361328125","35.35870361328125","35.35870361328125","34.10626220703125","34.10626220703125","34.10626220703125","24.24815559387207","24.24815559387207","24.24815559387207","24.919830322265625","24.919830322265625","24.919830322265625"
"4160000","38.325897216796875","38.325897216796875","38.325897216796875","39.42451477050781","39.42451477050781","39.42451477050781","37.97234344482422","37.97234344482422","37.97234344482422","34.039127349853516","34.039127349853516","34.039127349853516","27.46350860595703","27.46350860595703","27.46350860595703","26.20418930053711","26.20418930053711","26.20418930053711"
"4480000","37.128753662109375","37.128753662109375","37.128753662109375","38.22679138183594","38.22679138183594","38.22679138183594","36.59010314941406","36.59010314941406","36.59010314941406","35.489654541015625","35.489654541015625","35.489654541015625","27.503339767456055","27.503339767456055","27.503339767456055","26.262624740600586","26.262624740600586","26.262624740600586"
"4800000","35.7224235534668","35.7224235534668","35.7224235534668","39.293617248535156","39.293617248535156","39.293617248535156","39.26929473876953","39.26929473876953","39.26929473876953","38.48312759399414","38.48312759399414","38.48312759399414","24.975711822509766","24.975711822509766","24.975711822509766","29.151004791259766","29.151004791259766","29.151004791259766"
