step,value,metric,reach_variant,seed
0.0,0.0,eval/success_once,adaptive_tanh_episode,1
320000.0,0.0,eval/success_once,adaptive_tanh_episode,1
640000.0,0.0,eval/success_once,adaptive_tanh_episode,1
960000.0,0.0,eval/success_once,adaptive_tanh_episode,1
1280000.0,0.0,eval/success_once,adaptive_tanh_episode,1
1600000.0,0.3125,eval/success_once,adaptive_tanh_episode,1
1920000.0,0.4375,eval/success_once,adaptive_tanh_episode,1
2240000.0,0.5625,eval/success_once,adaptive_tanh_episode,1
2560000.0,0.6875,eval/success_once,adaptive_tanh_episode,1
2880000.0,0.4375,eval/success_once,adaptive_tanh_episode,1
3200000.0,0.8125,eval/success_once,adaptive_tanh_episode,1
3520000.0,0.4375,eval/success_once,adaptive_tanh_episode,1
3840000.0,0.6875,eval/success_once,adaptive_tanh_episode,1
4160000.0,0.75,eval/success_once,adaptive_tanh_episode,1
4480000.0,0.8125,eval/success_once,adaptive_tanh_episode,1
4800000.0,0.75,eval/success_once,adaptive_tanh_episode,1
0.0,0.0,eval/success_once,tanh,1
320000.0,0.0,eval/success_once,tanh,1
640000.0,0.0,eval/success_once,tanh,1
960000.0,0.0,eval/success_once,tanh,1
1280000.0,0.0625,eval/success_once,tanh,1
1600000.0,0.0,eval/success_once,tanh,1
1920000.0,0.375,eval/success_once,tanh,1
2240000.0,0.4375,eval/success_once,tanh,1
2560000.0,0.1875,eval/success_once,tanh,1
2880000.0,0.375,eval/success_once,tanh,1
3200000.0,0.1875,eval/success_once,tanh,1
3520000.0,0.625,eval/success_once,tanh,1
3840000.0,0.625,eval/success_once,tanh,1
4160000.0,0.6875,eval/success_once,tanh,1
4480000.0,0.75,eval/success_once,tanh,1
4800000.0,0.75,eval/success_once,tanh,1
0.0,0.0,eval/success_once,adaptive_tanh_episode,42
320000.0,0.0,eval/success_once,adaptive_tanh_episode,42
640000.0,0.0,eval/success_once,adaptive_tanh_episode,42
960000.0,0.0,eval/success_once,adaptive_tanh_episode,42
1280000.0,0.0,eval/success_once,adaptive_tanh_episode,42
1600000.0,0.125,eval/success_once,adaptive_tanh_episode,42
1920000.0,0.125,eval/success_once,adaptive_tanh_episode,42
2240000.0,0.1875,eval/success_once,adaptive_tanh_episode,42
2560000.0,0.75,eval/success_once,adaptive_tanh_episode,42
2880000.0,0.8125,eval/success_once,adaptive_tanh_episode,42
3200000.0,0.8125,eval/success_once,adaptive_tanh_episode,42
3520000.0,0.9375,eval/success_once,adaptive_tanh_episode,42
3840000.0,0.4375,eval/success_once,adaptive_tanh_episode,42
4160000.0,0.875,eval/success_once,adaptive_tanh_episode,42
4480000.0,0.875,eval/success_once,adaptive_tanh_episode,42
4800000.0,1.0,eval/success_once,adaptive_tanh_episode,42
0.0,0.0,eval/success_once,adaptive_tanh_episode,123
320000.0,0.0,eval/success_once,adaptive_tanh_episode,123
640000.0,0.0,eval/success_once,adaptive_tanh_episode,123
960000.0,0.0,eval/success_once,adaptive_tanh_episode,123
1280000.0,0.0625,eval/success_once,adaptive_tanh_episode,123
1600000.0,0.0,eval/success_once,adaptive_tanh_episode,123
1920000.0,0.3125,eval/success_once,adaptive_tanh_episode,123
2240000.0,0.4375,eval/success_once,adaptive_tanh_episode,123
2560000.0,0.375,eval/success_once,adaptive_tanh_episode,123
2880000.0,0.5,eval/success_once,adaptive_tanh_episode,123
3200000.0,0.75,eval/success_once,adaptive_tanh_episode,123
3520000.0,0.8125,eval/success_once,adaptive_tanh_episode,123
3840000.0,1.0,eval/success_once,adaptive_tanh_episode,123
4160000.0,0.75,eval/success_once,adaptive_tanh_episode,123
4480000.0,0.875,eval/success_once,adaptive_tanh_episode,123
4800000.0,0.8125,eval/success_once,adaptive_tanh_episode,123
0.0,0.0,eval/success_once,tanh,42
320000.0,0.0,eval/success_once,tanh,42
640000.0,0.0,eval/success_once,tanh,42
960000.0,0.0,eval/success_once,tanh,42
1280000.0,0.0,eval/success_once,tanh,42
1600000.0,0.0625,eval/success_once,tanh,42
1920000.0,0.0,eval/success_once,tanh,42
2240000.0,0.125,eval/success_once,tanh,42
2560000.0,0.25,eval/success_once,tanh,42
2880000.0,0.5625,eval/success_once,tanh,42
3200000.0,0.375,eval/success_once,tanh,42
3520000.0,0.4375,eval/success_once,tanh,42
3840000.0,0.6875,eval/success_once,tanh,42
4160000.0,0.75,eval/success_once,tanh,42
4480000.0,0.5625,eval/success_once,tanh,42
4800000.0,0.6875,eval/success_once,tanh,42
0.0,0.0,eval/success_once,tanh,123
320000.0,0.0,eval/success_once,tanh,123
640000.0,0.0,eval/success_once,tanh,123
960000.0,0.0625,eval/success_once,tanh,123
1280000.0,0.0,eval/success_once,tanh,123
1600000.0,0.25,eval/success_once,tanh,123
1920000.0,0.5,eval/success_once,tanh,123
2240000.0,0.875,eval/success_once,tanh,123
2560000.0,0.6875,eval/success_once,tanh,123
2880000.0,0.25,eval/success_once,tanh,123
3200000.0,0.75,eval/success_once,tanh,123
3520000.0,0.9375,eval/success_once,tanh,123
3840000.0,0.8125,eval/success_once,tanh,123
4160000.0,0.9375,eval/success_once,tanh,123
4480000.0,0.8125,eval/success_once,tanh,123
4800000.0,0.9375,eval/success_once,tanh,123
