step,metric,value,variant,seed
0.0,eval/success_once,0.0,tanh,1
0.0,eval/success_at_end,0.0,tanh,1
0.0,eval/return,3.1669235229492188,tanh,1
0.0,train/return,2.4181389808654785,tanh,1
0.0,train/success_once,0.0,tanh,1
1280000.0,eval/success_once,0.0,tanh,1
1280000.0,eval/success_at_end,0.0,tanh,1
1280000.0,eval/return,20.24933624267578,tanh,1
1280000.0,train/return,10.333517074584961,tanh,1
1280000.0,train/success_once,0.0,tanh,1
2560000.0,eval/success_once,0.0,tanh,1
2560000.0,eval/success_at_end,0.0,tanh,1
2560000.0,eval/return,23.962169647216797,tanh,1
2560000.0,train/return,19.51523208618164,tanh,1
2560000.0,train/success_once,0.0,tanh,1
3840000.0,eval/success_once,0.0,tanh,1
3840000.0,eval/success_at_end,0.0,tanh,1
3840000.0,eval/return,22.015636444091797,tanh,1
3840000.0,train/return,22.319137573242188,tanh,1
3840000.0,train/success_once,0.0,tanh,1
5120000.0,eval/success_once,0.0,tanh,1
5120000.0,eval/success_at_end,0.0,tanh,1
5120000.0,eval/return,24.46645736694336,tanh,1
5120000.0,train/return,23.547786712646484,tanh,1
5120000.0,train/success_once,0.0,tanh,1
6400000.0,eval/success_once,0.0,tanh,1
6400000.0,eval/success_at_end,0.0,tanh,1
6400000.0,eval/return,26.222301483154297,tanh,1
6400000.0,train/return,25.24785614013672,tanh,1
6400000.0,train/success_once,0.0,tanh,1
7680000.0,eval/success_once,0.0,tanh,1
7680000.0,eval/success_at_end,0.0,tanh,1
7680000.0,eval/return,27.83924102783203,tanh,1
7680000.0,train/return,25.881059646606445,tanh,1
7680000.0,train/success_once,0.0,tanh,1
8960000.0,eval/success_once,0.0,tanh,1
8960000.0,eval/success_at_end,0.0,tanh,1
8960000.0,eval/return,30.79021453857422,tanh,1
8960000.0,train/return,28.208606719970703,tanh,1
8960000.0,train/success_once,0.0,tanh,1
10240000.0,eval/success_once,0.0,tanh,1
10240000.0,eval/success_at_end,0.0,tanh,1
10240000.0,eval/return,32.045875549316406,tanh,1
10240000.0,train/return,29.651865005493164,tanh,1
10240000.0,train/success_once,0.0,tanh,1
11520000.0,eval/success_once,0.0,tanh,1
11520000.0,eval/success_at_end,0.0,tanh,1
11520000.0,eval/return,32.89983367919922,tanh,1
11520000.0,train/return,29.897321701049805,tanh,1
11520000.0,train/success_once,0.0,tanh,1
12800000.0,eval/success_once,0.0,tanh,1
12800000.0,eval/success_at_end,0.0,tanh,1
12800000.0,eval/return,28.966764450073242,tanh,1
12800000.0,train/return,29.977922439575195,tanh,1
12800000.0,train/success_once,0.0,tanh,1
14080000.0,eval/success_once,0.0,tanh,1
14080000.0,eval/success_at_end,0.0,tanh,1
14080000.0,eval/return,28.732635498046875,tanh,1
14080000.0,train/return,30.32697105407715,tanh,1
14080000.0,train/success_once,0.0,tanh,1
15360000.0,eval/success_once,0.0,tanh,1
15360000.0,eval/success_at_end,0.0,tanh,1
15360000.0,eval/return,32.79145050048828,tanh,1
15360000.0,train/return,30.96472930908203,tanh,1
15360000.0,train/success_once,0.0,tanh,1
16640000.0,eval/success_once,0.0,tanh,1
16640000.0,eval/success_at_end,0.0,tanh,1
16640000.0,eval/return,33.206581115722656,tanh,1
16640000.0,train/return,31.076313018798828,tanh,1
16640000.0,train/success_once,0.0,tanh,1
17920000.0,eval/success_once,0.0,tanh,1
17920000.0,eval/success_at_end,0.0,tanh,1
17920000.0,eval/return,30.538509368896484,tanh,1
17920000.0,train/return,30.143051147460938,tanh,1
17920000.0,train/success_once,0.0,tanh,1
19200000.0,eval/success_once,0.0,tanh,1
19200000.0,eval/success_at_end,0.0,tanh,1
19200000.0,eval/return,29.97079086303711,tanh,1
19200000.0,train/return,31.02444076538086,tanh,1
19200000.0,train/success_once,0.0,tanh,1
20480000.0,eval/success_once,0.0,tanh,1
20480000.0,eval/success_at_end,0.0,tanh,1
20480000.0,eval/return,32.791587829589844,tanh,1
20480000.0,train/return,29.98492431640625,tanh,1
20480000.0,train/success_once,0.0,tanh,1
21760000.0,eval/success_once,0.0,tanh,1
21760000.0,eval/success_at_end,0.0,tanh,1
21760000.0,eval/return,32.314697265625,tanh,1
21760000.0,train/return,30.48130989074707,tanh,1
21760000.0,train/success_once,0.0,tanh,1
23040000.0,eval/success_once,0.0,tanh,1
23040000.0,eval/success_at_end,0.0,tanh,1
23040000.0,eval/return,32.54353332519531,tanh,1
23040000.0,train/return,29.486141204833984,tanh,1
23040000.0,train/success_once,0.0,tanh,1
24320000.0,eval/success_once,0.0,tanh,1
24320000.0,eval/success_at_end,0.0,tanh,1
24320000.0,eval/return,32.487030029296875,tanh,1
24320000.0,train/return,31.09328269958496,tanh,1
24320000.0,train/success_once,0.0,tanh,1
25600000.0,eval/success_once,0.0,tanh,1
25600000.0,eval/success_at_end,0.0,tanh,1
25600000.0,eval/return,31.998722076416016,tanh,1
25600000.0,train/return,31.383506774902344,tanh,1
25600000.0,train/success_once,0.0,tanh,1
26880000.0,eval/success_once,0.0,tanh,1
26880000.0,eval/success_at_end,0.0,tanh,1
26880000.0,eval/return,30.147754669189453,tanh,1
26880000.0,train/return,31.05870246887207,tanh,1
26880000.0,train/success_once,0.0,tanh,1
28160000.0,eval/success_once,0.0,tanh,1
28160000.0,eval/success_at_end,0.0,tanh,1
28160000.0,eval/return,31.5137996673584,tanh,1
28160000.0,train/return,31.04751205444336,tanh,1
28160000.0,train/success_once,0.0,tanh,1
29440000.0,eval/success_once,0.0,tanh,1
29440000.0,eval/success_at_end,0.0,tanh,1
29440000.0,eval/return,33.08171081542969,tanh,1
29440000.0,train/return,31.309480667114258,tanh,1
29440000.0,train/success_once,0.0,tanh,1
30720000.0,eval/success_once,0.0,tanh,1
30720000.0,eval/success_at_end,0.0,tanh,1
30720000.0,eval/return,31.94013214111328,tanh,1
30720000.0,train/return,30.887136459350586,tanh,1
30720000.0,train/success_once,0.0,tanh,1
32000000.0,eval/success_once,0.0,tanh,1
32000000.0,eval/success_at_end,0.0,tanh,1
32000000.0,eval/return,32.13457107543945,tanh,1
32000000.0,train/return,31.355255126953125,tanh,1
32000000.0,train/success_once,0.0,tanh,1
33280000.0,eval/success_once,0.0625,tanh,1
33280000.0,eval/success_at_end,0.0,tanh,1
33280000.0,eval/return,31.392803192138672,tanh,1
33280000.0,train/return,31.58622169494629,tanh,1
33280000.0,train/success_once,0.0,tanh,1
34560000.0,eval/success_once,0.0,tanh,1
34560000.0,eval/success_at_end,0.0,tanh,1
34560000.0,eval/return,33.03752136230469,tanh,1
34560000.0,train/return,31.52071189880371,tanh,1
34560000.0,train/success_once,0.0,tanh,1
35840000.0,eval/success_once,0.0,tanh,1
35840000.0,eval/success_at_end,0.0,tanh,1
35840000.0,eval/return,30.857261657714844,tanh,1
35840000.0,train/return,30.590377807617188,tanh,1
35840000.0,train/success_once,0.0,tanh,1
37120000.0,eval/success_once,0.0,tanh,1
37120000.0,eval/success_at_end,0.0,tanh,1
37120000.0,eval/return,32.728965759277344,tanh,1
37120000.0,train/return,28.543392181396484,tanh,1
37120000.0,train/success_once,0.0,tanh,1
38400000.0,eval/success_once,0.0,tanh,1
38400000.0,eval/success_at_end,0.0,tanh,1
38400000.0,eval/return,32.16632080078125,tanh,1
38400000.0,train/return,30.6151065826416,tanh,1
38400000.0,train/success_once,0.0,tanh,1
39680000.0,eval/success_once,0.0,tanh,1
39680000.0,eval/success_at_end,0.0,tanh,1
39680000.0,eval/return,33.34751510620117,tanh,1
39680000.0,train/return,30.97146987915039,tanh,1
39680000.0,train/success_once,0.0,tanh,1
0.0,eval/success_once,0.0,concave_truncated,1
0.0,eval/success_at_end,0.0,concave_truncated,1
0.0,eval/return,2.1063477993011475,concave_truncated,1
0.0,train/return,1.5178296566009521,concave_truncated,1
0.0,train/success_once,0.0,concave_truncated,1
1280000.0,eval/success_once,0.0,concave_truncated,1
1280000.0,eval/success_at_end,0.0,concave_truncated,1
1280000.0,eval/return,19.069061279296875,concave_truncated,1
1280000.0,train/return,11.565210342407227,concave_truncated,1
1280000.0,train/success_once,0.0,concave_truncated,1
2560000.0,eval/success_once,0.0,concave_truncated,1
2560000.0,eval/success_at_end,0.0,concave_truncated,1
2560000.0,eval/return,23.966392517089844,concave_truncated,1
2560000.0,train/return,20.115554809570312,concave_truncated,1
2560000.0,train/success_once,0.0,concave_truncated,1
3840000.0,eval/success_once,0.0,concave_truncated,1
3840000.0,eval/success_at_end,0.0,concave_truncated,1
3840000.0,eval/return,22.9735107421875,concave_truncated,1
3840000.0,train/return,23.004016876220703,concave_truncated,1
3840000.0,train/success_once,0.0,concave_truncated,1
5120000.0,eval/success_once,0.0,concave_truncated,1
5120000.0,eval/success_at_end,0.0,concave_truncated,1
5120000.0,eval/return,24.528745651245117,concave_truncated,1
5120000.0,train/return,23.816621780395508,concave_truncated,1
5120000.0,train/success_once,0.0,concave_truncated,1
6400000.0,eval/success_once,0.0,concave_truncated,1
6400000.0,eval/success_at_end,0.0,concave_truncated,1
6400000.0,eval/return,26.813602447509766,concave_truncated,1
6400000.0,train/return,25.334381103515625,concave_truncated,1
6400000.0,train/success_once,0.0,concave_truncated,1
7680000.0,eval/success_once,0.0,concave_truncated,1
7680000.0,eval/success_at_end,0.0,concave_truncated,1
7680000.0,eval/return,28.548864364624023,concave_truncated,1
7680000.0,train/return,27.20732879638672,concave_truncated,1
7680000.0,train/success_once,0.0,concave_truncated,1
8960000.0,eval/success_once,0.0,concave_truncated,1
8960000.0,eval/success_at_end,0.0,concave_truncated,1
8960000.0,eval/return,30.307268142700195,concave_truncated,1
8960000.0,train/return,29.20525360107422,concave_truncated,1
8960000.0,train/success_once,0.0,concave_truncated,1
10240000.0,eval/success_once,0.0,concave_truncated,1
10240000.0,eval/success_at_end,0.0,concave_truncated,1
10240000.0,eval/return,27.038314819335938,concave_truncated,1
10240000.0,train/return,29.205419540405273,concave_truncated,1
10240000.0,train/success_once,0.0,concave_truncated,1
11520000.0,eval/success_once,0.0,concave_truncated,1
11520000.0,eval/success_at_end,0.0,concave_truncated,1
11520000.0,eval/return,30.62183380126953,concave_truncated,1
11520000.0,train/return,30.25021743774414,concave_truncated,1
11520000.0,train/success_once,0.0,concave_truncated,1
12800000.0,eval/success_once,0.0,concave_truncated,1
12800000.0,eval/success_at_end,0.0,concave_truncated,1
12800000.0,eval/return,30.293630599975586,concave_truncated,1
12800000.0,train/return,30.19747543334961,concave_truncated,1
12800000.0,train/success_once,0.0,concave_truncated,1
14080000.0,eval/success_once,0.0,concave_truncated,1
14080000.0,eval/success_at_end,0.0,concave_truncated,1
14080000.0,eval/return,32.3476448059082,concave_truncated,1
14080000.0,train/return,30.11371612548828,concave_truncated,1
14080000.0,train/success_once,0.0,concave_truncated,1
15360000.0,eval/success_once,0.0,concave_truncated,1
15360000.0,eval/success_at_end,0.0,concave_truncated,1
15360000.0,eval/return,31.734085083007812,concave_truncated,1
15360000.0,train/return,29.904430389404297,concave_truncated,1
15360000.0,train/success_once,0.0013605442363768816,concave_truncated,1
16640000.0,eval/success_once,0.0,concave_truncated,1
16640000.0,eval/success_at_end,0.0,concave_truncated,1
16640000.0,eval/return,30.433069229125977,concave_truncated,1
16640000.0,train/return,26.085702896118164,concave_truncated,1
16640000.0,train/success_once,0.2666666805744171,concave_truncated,1
17920000.0,eval/success_once,0.4375,concave_truncated,1
17920000.0,eval/success_at_end,0.375,concave_truncated,1
17920000.0,eval/return,31.88081169128418,concave_truncated,1
17920000.0,train/return,19.818918228149414,concave_truncated,1
17920000.0,train/success_once,0.40000003576278687,concave_truncated,1
19200000.0,eval/success_once,0.5625,concave_truncated,1
19200000.0,eval/success_at_end,0.3125,concave_truncated,1
19200000.0,eval/return,32.55219268798828,concave_truncated,1
